,1-A,3-C,12-B,7-A,9-C,9-B,12-C,10-A,7-B,8-C,3-B,5-A,1-C,1-B,12-A,9-A,7-C,2-B,6-C,8-B,10-C,6-B,6-A,10-B,14-C,11-A,4-C,2-C,11-C,4-B,11-B,2-A,14-B,8-A,14-A
b-A1,0.9999999984010306,1.3371814766571788e-10,0.0,0.34568272560688307,0.0,0.0,0.0,0.0,0.0,0.0,0.4567568403843445,0.9999999993235451,0.9999999996169104,0.9999999973015359,0.0,0.0,0.0,0.9999999946703342,0.12061931988083496,0.0,0.0,0.9999999992740474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b-B1,0.9999999981687533,0.9999999969496203,0.0,0.9999999996336877,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999252994,0.0,0.0,0.9999999976429659,0.0,0.0,0.0,0.9999999956833574,0.0,0.0,0.0,0.12331986109937954,0.0,0.0,0.0,0.0,0.0,0.3523364634432853,0.0,0.1679673585195689,0.0,0.0,0.0,0.0,0.0
a-B1,0.0,0.5017922483559611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999975193046,0.999999997749607,0.0,0.34685681437618565,0.999999997510471,0.0,0.0,0.0,0.9999999951442433,0.0,0.0,0.0,0.20377243008401202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b-C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999996158855,0.23628309834146388,0.0,0.0,0.20377242882460322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-C1,0.0,0.9999999972862046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999970955393,0.0,0.0,0.9999999977650214,0.999999995378203,0.23628309767807276,0.0,0.0,0.999999999497533,0.0,0.0,0.0,0.0,0.25159346153967976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-B1,0.9999999985070238,0.9999999982412204,0.0,0.9999999996523272,0.0,0.0,0.0,0.0,0.9999999991073458,0.0,0.9999999983940575,0.0,0.6973071852619599,0.9999999972354099,0.0,0.0,0.9999999986775079,0.0,0.23628309836823136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1642517253448752,0.0,0.0,0.0
a-A1,0.12688927575473818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12688927271271777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b-C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16717542996111368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a-C1,0.2467709162719507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24677091627195114,0.0,0.0,0.24677091470661372,0.0,0.0,0.0,0.0,-0.5169459848516673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a-C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19144410482680718,0.0,0.0,0.0,0.0,0.0,0.0,0.1914441054679108,0.0,0.0,-0.4006225882378345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19144410708772663,0.0
c-A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08131594579290646,0.22137686772159992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
